absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,relative_velocity,miss_distance,hazardous
16.59,1278.0709881794,2857.8536096394,32.0968069642,0.1077004156,True
16.59,1278.0709881794,2857.8536096394,34.0550007381,0.1747100488,True
16.59,1278.0709881794,2857.8536096394,37.6202878485,0.472312394,True
16.59,1278.0709881794,2857.8536096394,35.666966367,0.0920123091,True
16.59,1278.0709881794,2857.8536096394,26.551468272,0.0986986767,True
16.59,1278.0709881794,2857.8536096394,33.6738548566,0.0916543119,True
16.59,1278.0709881794,2857.8536096394,25.6557990052,0.3807771579,True
16.59,1278.0709881794,2857.8536096394,21.2294054745,0.3531702311,True
16.59,1278.0709881794,2857.8536096394,37.7427262255,0.2888438219,True
16.59,1278.0709881794,2857.8536096394,33.9210512526,0.4110192861,True
16.59,1278.0709881794,2857.8536096394,34.7788635314,0.0869458733,True
16.59,1278.0709881794,2857.8536096394,40.5829825025,0.0914904305,True
16.59,1278.0709881794,2857.8536096394,29.6050262786,0.0424822075,True
16.59,1278.0709881794,2857.8536096394,22.4264425346,0.4248230524,True
16.59,1278.0709881794,2857.8536096394,36.6241257002,0.0932715783,True
16.59,1278.0709881794,2857.8536096394,23.1596060368,0.2386780067,True
16.59,1278.0709881794,2857.8536096394,41.689528805,0.4053554255,True
16.59,1278.0709881794,2857.8536096394,29.9245501837,0.3731361638,True
16.59,1278.0709881794,2857.8536096394,20.2062943733,0.4707191136,True
16.59,1278.0709881794,2857.8536096394,22.8737125139,0.0626426675,True
16.59,1278.0709881794,2857.8536096394,42.7988752907,0.0981112177,True
16.59,1278.0709881794,2857.8536096394,33.6426085752,0.160728622,True
16.59,1278.0709881794,2857.8536096394,38.831248955,0.1179082618,True
16.59,1278.0709881794,2857.8536096394,37.9701330625,0.477558404,True
16.59,1278.0709881794,2857.8536096394,26.4609754988,0.1011944218,True
16.59,1278.0709881794,2857.8536096394,25.6179544834,0.3801444859,True
16.59,1278.0709881794,2857.8536096394,21.3246215687,0.3468146805,True
16.59,1278.0709881794,2857.8536096394,38.0518453153,0.2969825433,True
16.59,1278.0709881794,2857.8536096394,33.4789683213,0.4041929842,True
16.59,1278.0709881794,2857.8536096394,30.2225840152,0.0538362061,True
16.59,1278.0709881794,2857.8536096394,21.7030019228,0.4388241781,True
16.59,1278.0709881794,2857.8536096394,23.8736170043,0.2056648186,True
16.59,1278.0709881794,2857.8536096394,42.2723608571,0.0958470633,True
16.59,1278.0709881794,2857.8536096394,42.8342999172,0.4376264468,True
16.59,1278.0709881794,2857.8536096394,28.714476,0.3685133138,True
